index,type,sourceName,sourceVersion,unit,creationDate,datetime,endDate,hr,device
64,HeartRate,Mi Fitness,2,count/min,2022-12-16 07:15:07+01:00,2022-12-16 06:00:00,2022-12-16 07:00:00+01:00,52.0,
65,HeartRate,Mi Fitness,2,count/min,2022-12-16 07:15:07+01:00,2022-12-16 06:00:00,2022-12-16 07:00:00+01:00,63.0,
66,HeartRate,Mi Fitness,2,count/min,2022-12-16 07:15:07+01:00,2022-12-16 07:00:00,2022-12-16 08:00:00+01:00,52.0,
67,HeartRate,Mi Fitness,2,count/min,2022-12-16 07:15:07+01:00,2022-12-16 07:00:00,2022-12-16 08:00:00+01:00,68.0,
68,HeartRate,Mi Fitness,2,count/min,2022-12-16 07:31:22+01:00,2022-12-16 00:00:00,2022-12-16 01:00:00+01:00,62.0,
69,HeartRate,Mi Fitness,2,count/min,2022-12-16 07:31:22+01:00,2022-12-16 00:00:00,2022-12-16 01:00:00+01:00,74.0,
70,HeartRate,Mi Fitness,2,count/min,2022-12-16 07:31:22+01:00,2022-12-16 01:00:00,2022-12-16 02:00:00+01:00,60.0,
71,HeartRate,Mi Fitness,2,count/min,2022-12-16 07:31:22+01:00,2022-12-16 01:00:00,2022-12-16 02:00:00+01:00,71.0,
72,HeartRate,Mi Fitness,2,count/min,2022-12-16 07:31:22+01:00,2022-12-16 02:00:00,2022-12-16 03:00:00+01:00,59.0,
73,HeartRate,Mi Fitness,2,count/min,2022-12-16 07:31:22+01:00,2022-12-16 02:00:00,2022-12-16 03:00:00+01:00,72.0,
74,HeartRate,Mi Fitness,2,count/min,2022-12-16 07:31:22+01:00,2022-12-16 03:00:00,2022-12-16 04:00:00+01:00,57.0,
75,HeartRate,Mi Fitness,2,count/min,2022-12-16 07:31:22+01:00,2022-12-16 03:00:00,2022-12-16 04:00:00+01:00,77.0,
76,HeartRate,Mi Fitness,2,count/min,2022-12-16 07:31:22+01:00,2022-12-16 04:00:00,2022-12-16 05:00:00+01:00,55.0,
77,HeartRate,Mi Fitness,2,count/min,2022-12-16 07:31:22+01:00,2022-12-16 04:00:00,2022-12-16 05:00:00+01:00,66.0,
78,HeartRate,Mi Fitness,2,count/min,2022-12-16 07:31:22+01:00,2022-12-16 04:00:00,2022-12-16 05:00:00+01:00,83.0,
79,HeartRate,Mi Fitness,2,count/min,2022-12-16 07:31:22+01:00,2022-12-16 04:00:00,2022-12-16 05:00:00+01:00,84.0,
80,HeartRate,Mi Fitness,2,count/min,2022-12-16 07:31:22+01:00,2022-12-16 05:00:00,2022-12-16 06:00:00+01:00,54.0,
81,HeartRate,Mi Fitness,2,count/min,2022-12-16 07:31:22+01:00,2022-12-16 05:00:00,2022-12-16 06:00:00+01:00,73.0,
82,HeartRate,Mi Fitness,2,count/min,2022-12-16 07:31:22+01:00,2022-12-16 06:00:00,2022-12-16 07:00:00+01:00,52.0,
83,HeartRate,Mi Fitness,2,count/min,2022-12-16 07:31:22+01:00,2022-12-16 06:00:00,2022-12-16 07:00:00+01:00,63.0,
84,HeartRate,Mi Fitness,2,count/min,2022-12-16 07:31:22+01:00,2022-12-16 07:00:00,2022-12-16 08:00:00+01:00,52.0,
85,HeartRate,Mi Fitness,2,count/min,2022-12-16 07:31:22+01:00,2022-12-16 07:00:00,2022-12-16 08:00:00+01:00,81.0,
86,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:00:22+01:00,2022-12-16 00:00:00,2022-12-16 01:00:00+01:00,62.0,
87,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:00:22+01:00,2022-12-16 00:00:00,2022-12-16 01:00:00+01:00,74.0,
88,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:00:22+01:00,2022-12-16 01:00:00,2022-12-16 02:00:00+01:00,60.0,
89,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:00:22+01:00,2022-12-16 01:00:00,2022-12-16 02:00:00+01:00,71.0,
90,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:00:22+01:00,2022-12-16 02:00:00,2022-12-16 03:00:00+01:00,59.0,
91,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:00:22+01:00,2022-12-16 02:00:00,2022-12-16 03:00:00+01:00,72.0,
92,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:00:22+01:00,2022-12-16 03:00:00,2022-12-16 04:00:00+01:00,57.0,
93,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:00:22+01:00,2022-12-16 03:00:00,2022-12-16 04:00:00+01:00,77.0,
94,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:00:22+01:00,2022-12-16 04:00:00,2022-12-16 05:00:00+01:00,55.0,
95,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:00:22+01:00,2022-12-16 04:00:00,2022-12-16 05:00:00+01:00,66.0,
96,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:00:22+01:00,2022-12-16 04:00:00,2022-12-16 05:00:00+01:00,83.0,
97,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:00:22+01:00,2022-12-16 04:00:00,2022-12-16 05:00:00+01:00,84.0,
98,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:00:22+01:00,2022-12-16 05:00:00,2022-12-16 06:00:00+01:00,54.0,
99,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:00:22+01:00,2022-12-16 05:00:00,2022-12-16 06:00:00+01:00,73.0,
100,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:00:22+01:00,2022-12-16 06:00:00,2022-12-16 07:00:00+01:00,52.0,
101,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:00:22+01:00,2022-12-16 06:00:00,2022-12-16 07:00:00+01:00,63.0,
102,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:00:22+01:00,2022-12-16 07:00:00,2022-12-16 08:00:00+01:00,52.0,
103,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:00:22+01:00,2022-12-16 07:00:00,2022-12-16 08:00:00+01:00,129.0,
104,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:14:09+01:00,2022-12-16 00:00:00,2022-12-16 01:00:00+01:00,62.0,
105,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:14:09+01:00,2022-12-16 00:00:00,2022-12-16 01:00:00+01:00,74.0,
106,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:14:09+01:00,2022-12-16 01:00:00,2022-12-16 02:00:00+01:00,60.0,
107,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:14:09+01:00,2022-12-16 01:00:00,2022-12-16 02:00:00+01:00,71.0,
108,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:14:09+01:00,2022-12-16 02:00:00,2022-12-16 03:00:00+01:00,59.0,
109,HeartRate,Mi Fitness,2,count/min,2022-12-16 08:14:09+01:00,2022-12-16 02:00:00,2022-12-16 03:00:00+01:00,72.0,
